Time,date,year,YearMonth,MonthHour,MonthDay,DayHour,month,day,hour,wd_s,ws_s,Rainfall_s,lowleaf_s,temp_s,uvb_s,PM2.5_s
2018-01-01 05,1/1/2018 5,2018,2018-1,5-Jan,1-Jan,5-Jan,1,1,5,349.33,1.37,0.00,1.92,296.92,0.00,24.33
2018-01-01 06,1/1/2018 6,2018,2018-1,6-Jan,1-Jan,6-Jan,1,1,6,341.67,1.37,0.00,1.92,296.40,0.00,27.33
2018-01-01 07,1/1/2018 7,2018,2018-1,7-Jan,1-Jan,7-Jan,1,1,7,342.00,1.40,0.00,1.92,295.95,0.00,31.33
2018-01-01 08,1/1/2018 8,2018,2018-1,8-Jan,1-Jan,8-Jan,1,1,8,346.33,1.33,0.00,1.92,295.94,4580.61,33.00
2018-01-01 09,1/1/2018 9,2018,2018-1,9-Jan,1-Jan,9-Jan,1,1,9,245.00,1.20,0.00,1.92,296.41,29870.49,36.67
2018-01-01 10,1/1/2018 10,2018,2018-1,10-Jan,1-Jan,10-Jan,1,1,10,144.00,1.07,0.00,1.92,297.78,80366.32,31.33
2018-01-01 11,1/1/2018 11,2018,2018-1,11-Jan,1-Jan,11-Jan,1,1,11,39.33,0.90,0.00,1.92,299.30,159297.63,27.67
2018-01-01 12,1/1/2018 12,2018,2018-1,12-Jan,1-Jan,12-Jan,1,1,12,31.33,0.77,0.00,1.92,300.79,240992.85,25.00
2018-01-01 13,1/1/2018 13,2018,2018-1,13-Jan,1-Jan,13-Jan,1,1,13,120.00,0.63,0.00,1.92,301.96,305082.08,26.33
2018-01-01 14,1/1/2018 14,2018,2018-1,14-Jan,1-Jan,14-Jan,1,1,14,208.33,0.50,0.00,1.92,303.01,337679.98,30.00
2018-01-01 15,1/1/2018 15,2018,2018-1,15-Jan,1-Jan,15-Jan,1,1,15,264.00,0.33,0.00,1.92,303.78,323212.80,35.67
2018-01-01 16,1/1/2018 16,2018,2018-1,16-Jan,1-Jan,16-Jan,1,1,16,205.67,0.20,0.00,1.92,303.91,285272.77,39.00
2018-01-01 17,1/1/2018 17,2018,2018-1,17-Jan,1-Jan,17-Jan,1,1,17,166.33,0.13,0.00,1.92,303.72,208570.14,40.33
2018-01-01 18,1/1/2018 18,2018,2018-1,18-Jan,1-Jan,18-Jan,1,1,18,179.67,0.33,0.00,1.92,303.18,140810.23,39.33
2018-01-01 19,1/1/2018 19,2018,2018-1,19-Jan,1-Jan,19-Jan,1,1,19,197.33,0.77,0.00,1.92,302.26,67710.79,41.00
2018-01-01 20,1/1/2018 20,2018,2018-1,20-Jan,1-Jan,20-Jan,1,1,20,190.33,1.43,0.00,1.92,301.31,28303.60,42.33
2018-01-01 21,1/1/2018 21,2018,2018-1,21-Jan,1-Jan,21-Jan,1,1,21,173.33,2.00,0.00,1.92,300.52,3545.60,41.00
2018-01-01 22,1/1/2018 22,2018,2018-1,22-Jan,1-Jan,22-Jan,1,1,22,158.67,2.27,0.00,1.92,299.96,0.00,35.00
2018-01-01 23,1/1/2018 23,2018,2018-1,23-Jan,1-Jan,23-Jan,1,1,23,146.33,2.23,0.00,1.92,299.36,0.00,24.00
2018-01-02 00,2/1/2018 0,2018,2018-1,Jan-00,2-Jan,Feb-00,1,2,0,131.33,1.90,0.00,1.92,298.88,0.00,24.33
